Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-1001,20-08-2023,27-08-2023,First Class,Customer 1,Corporate,United States,Columbus,Ohio,South,Office Supplies,Paper,962.91,9,0.3,48.15
ORD-1002,19-12-2023,25-12-2023,Second Class,Customer 2,Corporate,United States,Atlanta,Georgia,South,Technology,Accessories,467.43,9,0.1,70.11
ORD-1003,21-08-2024,27-08-2024,Same Day,Customer 3,Corporate,United States,Savannah,Georgia,Central,Technology,Machines,602.27,3,0.1,90.34
ORD-1004,22-05-2022,25-05-2022,Second Class,Customer 4,Corporate,United States,Rochester,New York,East,Furniture,Tables,1188.77,9,0,237.75
ORD-1005,07-12-2023,09-12-2023,Standard Class,Customer 5,Home Office,United States,Buffalo,New York,West,Office Supplies,Binders,1462.91,3,0.3,73.15
ORD-1006,05-07-2022,12-07-2022,Second Class,Customer 6,Home Office,United States,Rochester,New York,Central,Office Supplies,Storage,1271.67,6,0.1,190.75
ORD-1007,14-06-2024,18-06-2024,Same Day,Customer 7,Home Office,United States,Augusta,Georgia,Central,Technology,Phones,1799.45,6,0.1,269.92
ORD-1008,08-08-2022,10-08-2022,Second Class,Customer 8,Corporate,United States,New York City,New York,East,Technology,Accessories,311.66,4,0.1,46.75
ORD-1009,04-09-2022,05-09-2022,Standard Class,Customer 9,Corporate,United States,New York City,New York,West,Office Supplies,Storage,1671.52,1,0.3,83.58
ORD-1010,31-12-2022,06-01-2023,Standard Class,Customer 10,Corporate,United States,Seattle,Washington,East,Office Supplies,Binders,1453.22,2,0.1,217.98
ORD-1011,25-07-2024,30-07-2024,First Class,Customer 11,Corporate,United States,Buffalo,New York,East,Technology,Machines,547.85,8,0.1,82.18
ORD-1012,12-08-2022,13-08-2022,Standard Class,Customer 12,Corporate,United States,Seattle,Washington,Central,Technology,Accessories,1830.63,6,0,366.13
ORD-1013,05-09-2024,07-09-2024,Second Class,Customer 13,Home Office,United States,Cincinnati,Ohio,Central,Technology,Phones,1956.04,10,0.2,195.6
ORD-1014,01-06-2023,05-06-2023,Same Day,Customer 14,Corporate,United States,Orlando,Florida,East,Furniture,Tables,1214.77,6,0,242.95
ORD-1015,19-04-2022,25-04-2022,First Class,Customer 15,Home Office,United States,Cincinnati,Ohio,East,Office Supplies,Paper,1502.17,4,0,300.43
ORD-1016,25-11-2023,28-11-2023,Second Class,Customer 16,Consumer,United States,Atlanta,Georgia,South,Office Supplies,Binders,1802.82,5,0.3,90.14
